input,normalized
가평군,가평군
가평,가평군
강남구,강남구
강남,강남구
강동구,강동구
강동,강동구
강릉시,강릉시
강릉,강릉시
강북구,강북구
강북,강북구
강서구,강서구
강서,강서구
강진군,강진군
강진,강진군
강화군,강화군
강화,강화군
거제군,거제군
거제,거제군
거제시,거제시
거제,거제시
거창군,거창군
거창,거창군
경산군,경산군
경산,경산군
경산시,경산시
경산,경산시
경주군,경주군
경주,경주군
경주시,경주시
경주,경주시
계룡시,계룡시
계룡,계룡시
계양구,계양구
계양,계양구
고령군,고령군
고령,고령군
고성군,고성군
고성,고성군
고양군,고양군
고양,고양군
고양시,고양시
고양,고양시
고양시덕양구,고양시덕양구
고양시덕양,고양시덕양구
고양시일산구,고양시일산구
고양시일산,고양시일산구
고양시일산동구,고양시일산동구
고양시일산동,고양시일산동구
고양시일산서구,고양시일산서구
고양시일산서,고양시일산서구
고창군,고창군
고창,고창군
고흥군,고흥군
고흥,고흥군
곡성군,곡성군
곡성,곡성군
공주군,공주군
공주,공주군
공주시,공주시
공주,공주시
과천시,과천시
과천,과천시
관악구,관악구
관악,관악구
광명시,광명시
광명,광명시
광산구,광산구
광산,광산구
광산군,광산군
광산,광산군
광양군,광양군
광양,광양군
광양시,광양시
광양,광양시
광주군,광주군
광주,광주군
광주시,광주시
광주,광주시
광주시동구,광주시동구
광주시동,광주시동구
광주시북구,광주시북구
광주시북,광주시북구
광주시서구,광주시서구
광주시서,광주시서구
광진구,광진구
광진,광진구
괴산군,괴산군
괴산,괴산군
구례군,구례군
구례,구례군
구로구,구로구
구로,구로구
구리시,구리시
구리,구리시
구미시,구미시
구미,구미시
군산시,군산시
군산,군산시
군위군,군위군
군위,군위군
군포시,군포시
군포,군포시
금릉군,금릉군
금릉,금릉군
금산군,금산군
금산,금산군
금성시,금성시
금성,금성시
금정구,금정구
금정,금정구
금천구,금천구
금천,금천구
기장군,기장군
기장,기장군
김제군,김제군
김제,김제군
김제시,김제시
김제,김제시
김천시,김천시
김천,김천시
김포군,김포군
김포,김포군
김포시,김포시
김포,김포시
김해군,김해군
김해,김해군
김해시,김해시
김해,김해시
나주군,나주군
나주,나주군
나주시,나주시
나주,나주시
남구,남구
남,남구
남동구,남동구
남동,남동구
남양주군,남양주군
남양주,남양주군
남양주시,남양주시
남양주,남양주시
남원군,남원군
남원,남원군
남원시,남원시
남원,남원시
남제주군,남제주군
남제주,남제주군
남해군,남해군
남해,남해군
노원구,노원구
노원,노원구
논산군,논산군
논산,논산군
논산시,논산시
논산,논산시
단양군,단양군
단양,단양군
달서구,달서구
달서,달서구
달성군,달성군
달성,달성군
담양군,담양군
담양,담양군
당진군,당진군
당진,당진군
당진시,당진시
당진,당진시
대구시,대구시
대구,대구시
대구시남구,대구시남구
대구시남,대구시남구
대구시동구,대구시동구
대구시동,대구시동구
대구시북구,대구시북구
